,ts_code,end_date,symbol,mkv,amount,stk_mkv_ratio
278,510300.SH,20181231,000826.SZ,25860533.37,2488983.0,0.08
279,510300.SH,20181231,300251.SZ,25655753.2,3375757.0,0.08
280,510300.SH,20181231,601633.SH,25505155.2,4554492.0,0.08
281,510300.SH,20181231,000938.SZ,25484214.84,815234.0,0.08
282,510300.SH,20181231,002252.SZ,25132936.95,3137695.0,0.08
283,510300.SH,20181231,603259.SH,24606482.0,328700.0,0.07
284,510300.SH,20181231,000415.SZ,23911560.0,6642100.0,0.07
285,510300.SH,20181231,002555.SZ,22425815.04,2375616.0,0.07
286,510300.SH,20181231,603160.SH,22218426.6,282318.0,0.07
287,510300.SH,20181231,000959.SZ,21866431.22,5862314.0,0.07
288,510300.SH,20181231,000408.SZ,21838608.0,1946400.0,0.07
289,510300.SH,20181231,600339.SH,21803958.0,6006600.0,0.07
290,510300.SH,20181231,002411.SZ,20258090.8,961010.0,0.06
291,510300.SH,20181231,600157.SH,19471288.08,14530812.0,0.06
292,510300.SH,20181231,600025.SH,19336590.0,6138600.0,0.06
293,510300.SH,20181231,601808.SH,19200482.0,2248300.0,0.06
294,510300.SH,20181231,002468.SZ,18901050.0,1149000.0,0.06
295,510300.SH,20181231,300433.SZ,17413859.4,2674940.0,0.05
296,510300.SH,20181231,001965.SZ,17396995.0,2166500.0,0.05
297,510300.SH,20181231,601611.SH,16467086.27,2521759.0,0.05
298,510300.SH,20181231,002773.SZ,16094668.0,472400.0,0.05
299,510300.SH,20181231,600390.SH,14634792.0,2102700.0,0.04
300,510300.SH,20181231,002120.SZ,14398560.0,475200.0,0.04
301,510300.SH,20181231,002625.SZ,13117896.0,1325040.0,0.04
302,510300.SH,20181231,601828.SH,12908023.2,1169205.0,0.04
303,510300.SH,20181231,002925.SZ,12834900.0,292500.0,0.04
304,510300.SH,20181231,601066.SH,12695696.0,1457600.0,0.04
305,510300.SH,20181231,600233.SH,12190000.0,1219000.0,0.04
306,510300.SH,20181231,603260.SH,10349940.0,236300.0,0.03
307,510300.SH,20181231,601838.SH,10235566.95,1271499.0,0.03
308,510300.SH,20181231,601108.SH,9136910.0,1265500.0,0.03
309,510300.SH,20181231,601212.SH,9059450.0,3071000.0,0.03
310,510300.SH,20181231,603156.SH,7767144.0,186800.0,0.02
311,510300.SH,20181231,000553.SZ,7702068.0,843600.0,0.02
312,510300.SH,20181231,603185.SH,66039.5,1345.0,0.0
313,510300.SH,20181231,601860.SH,50145.8,15970.0,0.0
314,510300.SH,20181231,603629.SH,40684.21,1051.0,0.0
315,510300.SH,20180930,601318.SH,1969051269.0,28745274.0,7.14
316,510300.SH,20180930,600519.SH,1028420350.0,1408795.0,3.73
317,510300.SH,20180930,600036.SH,838450677.24,27319996.0,3.04
318,510300.SH,20180930,601166.SH,527243933.7,33056046.0,1.91
319,510300.SH,20180930,000651.SZ,514779532.2,12805461.0,1.87
320,510300.SH,20180930,600016.SH,476463001.62,75151893.0,1.73
321,510300.SH,20180930,000333.SZ,445924174.8,11065116.0,1.62
322,510300.SH,20180930,601328.SH,425195578.08,72807462.0,1.54
323,510300.SH,20180930,600887.SH,411034413.84,16006013.0,1.49
324,510300.SH,20180930,601288.SH,394628359.31,101446879.0,1.43
325,510300.SH,20180630,601318.SH,1327432992.92,22660174.0,5.95
326,510300.SH,20180630,600519.SH,772418102.7,1055995.0,3.46
327,510300.SH,20180630,600036.SH,570908238.24,21592596.0,2.56
328,510300.SH,20180630,000333.SZ,504493660.16,9660928.0,2.26
329,510300.SH,20180630,000651.SZ,472370436.15,10018461.0,2.12
330,510300.SH,20180630,601166.SH,375556982.4,26080346.0,1.68
331,510300.SH,20180630,600887.SH,354667952.7,12712113.0,1.59
332,510300.SH,20180630,600276.SH,351785196.16,4643416.0,1.58
333,510300.SH,20180630,600016.SH,346047877.0,49435411.0,1.55
334,510300.SH,20180630,601328.SH,329964829.88,57485162.0,1.48
335,510300.SH,20180630,000858.SZ,309503920.0,4072420.0,1.39
336,510300.SH,20180630,002415.SZ,286658711.91,7720407.0,1.29
337,510300.SH,20180630,601288.SH,275101199.76,79971279.0,1.23
338,510300.SH,20180630,600030.SH,271550982.7,16388110.0,1.22
339,510300.SH,20180630,600104.SH,254634966.36,7277364.0,1.14
340,510300.SH,20180630,000002.SZ,248733010.8,10111098.0,1.12
341,510300.SH,20180630,601398.SH,240069319.84,45125812.0,1.08
342,510300.SH,20180630,601668.SH,239949336.9,43946765.0,1.08
343,510300.SH,20180630,600000.SH,234751880.16,24555636.0,1.05
344,510300.SH,20180630,600900.SH,222806841.18,13804637.0,1.0
345,510300.SH,20180630,601601.SH,207934221.95,6528547.0,0.93
346,510300.SH,20180630,601169.SH,186585916.14,30942938.0,0.84
347,510300.SH,20180630,600048.SH,181596743.8,14884979.0,0.81
348,510300.SH,20180630,000725.SZ,175586124.0,49600600.0,0.79
349,510300.SH,20180630,002304.SZ,167734991.2,1274582.0,0.75
350,510300.SH,20180630,000001.SZ,163355599.17,17970913.0,0.73
351,510300.SH,20180630,600837.SH,160090009.08,16904964.0,0.72
352,510300.SH,20180630,601988.SH,159096237.8,44070980.0,0.71
