,ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
293,000039.SZ,20171231,能源化工设备业务,11292494000.0,1993170000.0,9299324000.0,CNY
294,000039.SZ,20171231,道路运输车辆,18749176000.0,3288461000.0,15460715000.0,CNY
295,000039.SZ,20171231,集装箱业务,24200544000.0,3282695000.0,20917849000.0,CNY
296,000039.SZ,20171231,其他业务,1772218000.0,1071900000.0,700318000.0,CNY
297,000039.SZ,20180630,其他业务,999048000.0,,,CNY
298,000039.SZ,20180630,集装箱业务,15406716000.0,,,CNY
299,000039.SZ,20180630,道路运输车辆,11160589000.0,,,CNY
300,000039.SZ,20180630,能源化工设备业务,5941211000.0,,,CNY
301,000039.SZ,20180630,物流服务,4021325000.0,,,CNY
302,000039.SZ,20180630,空港设备业务,1698707000.0,,,CNY
303,000039.SZ,20180630,重卡,1551810000.0,,,CNY
304,000039.SZ,20180630,金融,1043616000.0,,,CNY
305,000039.SZ,20180630,海洋工程业务,563738000.0,,,CNY
306,000039.SZ,20180630,房地产,152355000.0,,,CNY
307,000039.SZ,20180630,其他主营业务,1021283000.0,,,CNY
308,000039.SZ,20181231,集装箱业务,31536221000.0,2963421000.0,28572800000.0,CNY
309,000039.SZ,20181231,道路运输车辆,24399718000.0,3404709000.0,20995009000.0,CNY
310,000039.SZ,20181231,能源化工设备业务,14162800000.0,2667393000.0,11495407000.0,CNY
311,000039.SZ,20181231,海洋工程业务,2433598000.0,,,CNY
312,000039.SZ,20181231,空港设备业务,4671147000.0,,,CNY
313,000039.SZ,20181231,物流服务,8628262000.0,,,CNY
314,000039.SZ,20181231,金融,2092384000.0,,,CNY
315,000039.SZ,20181231,产城,2893205000.0,,,CNY
316,000039.SZ,20181231,重卡,2487666000.0,,,CNY
317,000039.SZ,20181231,其他主营业务,4231489000.0,,,CNY
318,000039.SZ,20181231,内部抵销,-4038868000.0,,,CNY
319,000046.SZ,20151231,房地产,8662707651.0,4186929767.93,4475777883.07,CNY
320,000046.SZ,20151231,物业出租,218969465.77,157098583.37,61870882.4,CNY
321,000046.SZ,20151231,其他业务,3272619941.37,3249683404.12,22936537.25,CNY
